rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1576079391957907011,,57629,,1576079391,957762153,"""world""",,,-0.360912680626,0.0226510260254,0.130262583494,,0.0085688456893,-0.594993472099,-0.000162361378898,0.803684771061
1576079391977566289,,57630,,1576079391,977490688,"""world""",,,-0.365134119987,0.0228483304381,0.130945131183,,0.00958379358053,-0.567133665085,-0.00234322994947,0.823566675186
1576079391997706741,,57631,,1576079391,997622769,"""world""",,,-0.369347631931,0.0226299818605,0.131688341498,,0.011512093246,-0.537763774395,-0.00546490959823,0.842999219894
1576079392018040533,,57632,,1576079392,17959574,"""world""",,,-0.373483985662,0.0224175211042,0.132891908288,,0.0107054812834,-0.509052395821,-0.00333776860498,0.860662579536
1576079392037359990,,57633,,1576079392,37258748,"""world""",,,-0.377395004034,0.0224331934005,0.134184375405,,0.0103935403749,-0.480208158493,-0.0034893034026,0.877086043358
1576079392061359063,,57634,,1576079392,61271812,"""world""",,,-0.380958646536,0.0225126221776,0.135423153639,,0.00834605377167,-0.451232790947,-0.00588807044551,0.892347872257
1576079392077717992,,57635,,1576079392,77614793,"""world""",,,-0.384469479322,0.0223129149526,0.136614486575,,0.0107103558257,-0.421366423368,-0.00493066618219,0.906813919544
1576079392100259377,,57636,,1576079392,97392832,"""world""",,,-0.38815882802,0.022634152323,0.138141676784,,0.0138906007633,-0.390033632517,-0.00578077090904,0.9206777215
1576079392117658551,,57637,,1576079392,117560177,"""world""",,,-0.391334295273,0.0226350743324,0.139871716499,,0.0121727734804,-0.360300123692,-0.0044043562375,0.932746708393
1576079392137250024,,57638,,1576079392,137102626,"""world""",,,-0.394546657801,0.0224751867354,0.141720861197,,0.00865381769836,-0.328395009041,-0.00594591582194,0.944482147694
1576079392157500909,,57639,,1576079392,157417338,"""world""",,,-0.397265553474,0.0223765335977,0.143563941121,,0.00861677061766,-0.297629833221,-0.00546896224841,0.954626858234
1576079392177399845,,57640,,1576079392,177303003,"""world""",,,-0.400044739246,0.0225619226694,0.145650312304,,0.00791362021118,-0.266356527805,-0.00489104073495,0.963829696178
1576079392200358854,,57641,,1576079392,200261072,"""world""",,,-0.40253007412,0.022667793557,0.147724106908,,0.00782568380237,-0.236519262195,-0.00573622388765,0.971578359604
1576079392217468571,,57642,,1576079392,217356136,"""world""",,,-0.40507248044,0.0226492322981,0.150060191751,,0.00727974623442,-0.206792607903,-0.00706735579297,0.978332221508
1576079392252641673,,57643,,1576079392,252548258,"""world""",,,-0.406961858273,0.0223807170987,0.152305617929,,0.0102935060859,-0.175968289375,-0.00567086460069,0.984325766563
